dataset,model,randomseed,train_r2,test_r2,json
1595_poker,GradientBoostingRegressor(n_estimators=200),2,0.8869711128348076,-0.2716467303637375,
1595_poker,LinearRegression(),3,0.0277685093326983,-0.0305406843283024,
1595_poker,"Lasso(alpha=0.05, max_iter=100000)",3,0.0186231771481739,-0.0135828802336148,
1595_poker,RandomForestRegressor(n_estimators=200),3,0.8410965637109642,-0.0935517779651426,
1595_poker,GradientBoostingRegressor(n_estimators=200),3,0.915331314984612,-0.3557113500828628,
1595_poker,LinearRegression(),4,0.0445393261604115,-0.0459073229063764,
1595_poker,"Lasso(alpha=0.05, max_iter=100000)",4,0.0347320158713819,-0.0229676584350071,
1595_poker,RandomForestRegressor(n_estimators=200),4,0.8635675984419087,-0.0892133551141483,
1595_poker,GradientBoostingRegressor(n_estimators=200),4,0.9195604572394348,-0.3110635197680576,
197_cpu_act,LinearRegression(),0,0.8195133042347824,0.6099027481578938,
197_cpu_act,"Lasso(alpha=0.05, max_iter=100000)",0,0.8194803224843594,0.611194707289347,
197_cpu_act,RandomForestRegressor(n_estimators=200),0,0.9962724889557976,0.9679732304033424,
197_cpu_act,GradientBoostingRegressor(n_estimators=200),0,0.9992635339237296,0.97152010238788,
197_cpu_act,LinearRegression(),1,0.8409382295182062,0.3648844978739902,
197_cpu_act,"Lasso(alpha=0.05, max_iter=100000)",1,0.8408834034396098,0.3665662990624024,
197_cpu_act,LinearRegression(),2,0.8267787153279987,0.4019849724754614,
197_cpu_act,LinearRegression(),3,0.8063801109402073,0.4196427777775693,
197_cpu_act,LinearRegression(),4,0.8388628764393282,0.625660469944296,
197_cpu_act,"Lasso(alpha=0.05, max_iter=100000)",2,0.826746339064523,0.4018608062089418,
197_cpu_act,"Lasso(alpha=0.05, max_iter=100000)",3,0.8063539370974386,0.4196017857788766,
197_cpu_act,"Lasso(alpha=0.05, max_iter=100000)",4,0.8388333161069506,0.624251371678092,
197_cpu_act,RandomForestRegressor(n_estimators=200),1,0.9925866211429668,0.969783822755442,
197_cpu_act,RandomForestRegressor(n_estimators=200),2,0.9957177608897324,0.9669503671557887,
197_cpu_act,RandomForestRegressor(n_estimators=200),3,0.9970766254096324,0.9647685844232188,
197_cpu_act,RandomForestRegressor(n_estimators=200),4,0.9935400608224878,0.9671882721818575,
197_cpu_act,GradientBoostingRegressor(n_estimators=200),1,0.9987951363169498,0.970426533748102,
197_cpu_act,GradientBoostingRegressor(n_estimators=200),2,0.9994530739558324,0.968278440432584,
197_cpu_act,GradientBoostingRegressor(n_estimators=200),3,0.9995582191117806,0.9656533423293768,
197_cpu_act,GradientBoostingRegressor(n_estimators=200),4,0.9992139110144964,0.9668571224522208,
201_pol,LinearRegression(),0,0.4856453093350961,0.3940162501413932,
201_pol,LinearRegression(),1,0.503134992262948,0.3983730693850629,
201_pol,LinearRegression(),2,0.4714503103390323,0.4117824710197579,
201_pol,LinearRegression(),3,0.4926451197078602,0.4129235390020256,
201_pol,LinearRegression(),4,0.5540187649761487,0.373666714577362,
201_pol,"Lasso(alpha=0.05, max_iter=100000)",0,0.4834994872896505,0.403963201294151,
201_pol,"Lasso(alpha=0.05, max_iter=100000)",1,0.5014939799233338,0.401958456053785,
201_pol,"Lasso(alpha=0.05, max_iter=100000)",2,0.4705877006673374,0.4195154612036043,
201_pol,"Lasso(alpha=0.05, max_iter=100000)",3,0.4906147180801299,0.4215487323171446,
201_pol,"Lasso(alpha=0.05, max_iter=100000)",4,0.5513336241972402,0.3963245935851031,
201_pol,RandomForestRegressor(n_estimators=200),0,0.9855795481163332,0.8975791432423257,
201_pol,RandomForestRegressor(n_estimators=200),1,0.9847712976463237,0.899548210989049,
201_pol,RandomForestRegressor(n_estimators=200),2,0.971908724220515,0.8541027007272763,
201_pol,RandomForestRegressor(n_estimators=200),3,0.9806166261847992,0.8967977107451058,
201_pol,RandomForestRegressor(n_estimators=200),4,0.9821854601026088,0.8673987157221604,
201_pol,GradientBoostingRegressor(n_estimators=200),0,0.9926110165238669,0.8805908713421144,
201_pol,GradientBoostingRegressor(n_estimators=200),1,0.9960083758387882,0.8722671620330364,
201_pol,GradientBoostingRegressor(n_estimators=200),2,0.9943364629527242,0.870294472065209,
201_pol,GradientBoostingRegressor(n_estimators=200),3,0.9941885792590848,0.8724697541471425,
201_pol,GradientBoostingRegressor(n_estimators=200),4,0.996680063908792,0.8733012560118586,
215_2dplanes,LinearRegression(),0,0.7489747257848018,0.6624470496064574,
215_2dplanes,LinearRegression(),1,0.7351960563418249,0.6725369699090915,
215_2dplanes,LinearRegression(),2,0.7084610679569504,0.6924542490560838,
215_2dplanes,LinearRegression(),3,0.7181647342053173,0.6920651320297087,
215_2dplanes,LinearRegression(),4,0.7229853421102468,0.6787396175882873,
215_2dplanes,"Lasso(alpha=0.05, max_iter=100000)",0,0.7467503928695061,0.6639371120738091,
215_2dplanes,"Lasso(alpha=0.05, max_iter=100000)",1,0.7335196003105076,0.6775383744395518,
215_2dplanes,"Lasso(alpha=0.05, max_iter=100000)",2,0.7071007783518051,0.6940794861732117,
215_2dplanes,"Lasso(alpha=0.05, max_iter=100000)",3,0.7164819867127883,0.6979002776093497,
215_2dplanes,"Lasso(alpha=0.05, max_iter=100000)",4,0.7214049592707201,0.6771016596625974,
215_2dplanes,RandomForestRegressor(n_estimators=200),0,0.987108220564292,0.9207261532703483,
215_2dplanes,RandomForestRegressor(n_estimators=200),1,0.9903555202872456,0.9196505911465822,
215_2dplanes,RandomForestRegressor(n_estimators=200),2,0.9875955957084602,0.9210321604528252,
215_2dplanes,RandomForestRegressor(n_estimators=200),3,0.9890093617658112,0.9183950150993064,
215_2dplanes,RandomForestRegressor(n_estimators=200),4,0.988063600273076,0.9203941680134236,
215_2dplanes,GradientBoostingRegressor(n_estimators=200),0,0.9786179836787158,0.9217432829295452,
215_2dplanes,GradientBoostingRegressor(n_estimators=200),1,0.983987944433164,0.9195771107560312,
215_2dplanes,GradientBoostingRegressor(n_estimators=200),2,0.9798480832489574,0.9280507330307968,
215_2dplanes,GradientBoostingRegressor(n_estimators=200),3,0.9813294555555976,0.9293330892986094,
215_2dplanes,GradientBoostingRegressor(n_estimators=200),4,0.9795921061262344,0.9169214111305968,
218_house_8L,LinearRegression(),0,0.3532249231397796,0.3285937612189643,
218_house_8L,LinearRegression(),1,0.5793448746533085,-1.435895048240285,
218_house_8L,LinearRegression(),2,0.352062692727552,0.3244952530489706,
218_house_8L,LinearRegression(),3,0.4470978170980458,-0.3529427913476406,
218_house_8L,LinearRegression(),4,0.4406801134648948,0.3335090873379324,
218_house_8L,"Lasso(alpha=0.05, max_iter=100000)",0,0.3532249217892166,0.3286079135369256,
218_house_8L,"Lasso(alpha=0.05, max_iter=100000)",1,0.5793448703788764,-1.4360888192545325,
218_house_8L,"Lasso(alpha=0.05, max_iter=100000)",2,0.3520626919174946,0.3244950447374481,
218_house_8L,"Lasso(alpha=0.05, max_iter=100000)",3,0.4470978161452602,-0.3529939106869959,
218_house_8L,"Lasso(alpha=0.05, max_iter=100000)",4,0.4406801123926839,0.3335144907439048,
218_house_8L,RandomForestRegressor(n_estimators=200),0,0.9122125431939287,0.4690854600971226,
218_house_8L,RandomForestRegressor(n_estimators=200),1,0.938126741985054,0.4946371407058263,
218_house_8L,RandomForestRegressor(n_estimators=200),2,0.9171507250455604,0.5068692868336199,
218_house_8L,RandomForestRegressor(n_estimators=200),3,0.9224384938403274,0.5447763514756214,
218_house_8L,RandomForestRegressor(n_estimators=200),4,0.922444028965894,0.5385642318632428,
218_house_8L,GradientBoostingRegressor(n_estimators=200),0,0.9946534564278378,0.4373571798542757,
218_house_8L,GradientBoostingRegressor(n_estimators=200),1,0.9956429184295612,0.4703276961271143,
218_house_8L,GradientBoostingRegressor(n_estimators=200),2,0.9925066055655136,0.5139015828132603,
218_house_8L,GradientBoostingRegressor(n_estimators=200),3,0.9953500271899424,0.4754808814777922,
218_house_8L,GradientBoostingRegressor(n_estimators=200),4,0.9951916366121876,0.3854907594661252,
225_puma8NH,LinearRegression(),0,0.4299305280201326,0.3502384963434655,
225_puma8NH,LinearRegression(),1,0.4118717962048193,0.3154240989490432,
225_puma8NH,LinearRegression(),2,0.3972411625016514,0.3557386781107718,
225_puma8NH,LinearRegression(),3,0.3605725906846608,0.3507260971911766,
225_puma8NH,LinearRegression(),4,0.3401513935467694,0.3530347952541965,
225_puma8NH,"Lasso(alpha=0.05, max_iter=100000)",0,0.4286279651496295,0.3570020888982959,
225_puma8NH,"Lasso(alpha=0.05, max_iter=100000)",1,0.4105348921107332,0.3282643227899469,
225_puma8NH,"Lasso(alpha=0.05, max_iter=100000)",2,0.3966533935341391,0.3597563342435343,
225_puma8NH,"Lasso(alpha=0.05, max_iter=100000)",3,0.3587331764465855,0.3560706907694992,
